experiment,fault,task,proposed,reference,episodes,proposed_rate,reference_rate,rate_difference,proposed_only_success,reference_only_success,mcnemar_exact_p,holm_adjusted_p
fault,unexpected_drop,wipe_desk,full,dynamac_v4,50,0.7,0.84,-0.14,2,9,0.0654296875,1.0
normal,,bimanual_handover_item,progress_only,dynamac_v4,200,0.745,0.875,-0.13,14,40,0.0005354355028570622,0.07977988992570227
normal,,bimanual_handover_item,progress_dynamic_roles,progress_only,200,0.695,0.745,-0.05,16,26,0.16414940178310644,1.0
normal,,bimanual_handover_item,full,progress_dynamic_roles,200,0.935,0.695,0.24,50,2,6.123990203832363e-13,1.0410783346515018e-10
normal,,bimanual_handover_item,full,dynamac_v4,200,0.935,0.875,0.06,23,11,0.05761267291381955,1.0
normal,,bimanual_lift_tray,progress_only,dynamac_v4,200,0.93,0.88,0.05,14,4,0.0308837890625,1.0
normal,,bimanual_lift_tray,progress_dynamic_roles,progress_only,200,0.94,0.93,0.01,9,7,0.803619384765625,1.0
normal,,bimanual_lift_tray,full,progress_dynamic_roles,200,0.97,0.94,0.03,10,4,0.1795654296875,1.0
normal,,bimanual_lift_tray,full,dynamac_v4,200,0.97,0.88,0.09,20,2,0.00012111663818359375,0.018651962280273438
normal,,bimanual_put_bottle_in_fridge,progress_only,dynamac_v4,200,0.77,0.82,-0.05,11,21,0.11018416518345475,1.0
normal,,bimanual_put_bottle_in_fridge,progress_dynamic_roles,progress_only,200,0.835,0.77,0.065,19,6,0.01463329792022705,1.0
normal,,bimanual_put_bottle_in_fridge,full,progress_dynamic_roles,200,0.83,0.835,-0.005,6,7,1.0,1.0
normal,,bimanual_put_bottle_in_fridge,full,dynamac_v4,200,0.83,0.82,0.01,14,12,0.8450189828872681,1.0
normal,,bimanual_sweep_to_dustpan,progress_only,dynamac_v4,200,0.995,0.97,0.025,5,0,0.0625,1.0
normal,,bimanual_sweep_to_dustpan,progress_dynamic_roles,progress_only,200,0.975,0.995,-0.02,0,4,0.125,1.0
normal,,bimanual_sweep_to_dustpan,full,progress_dynamic_roles,200,0.98,0.975,0.005,2,1,1.0,1.0
normal,,bimanual_sweep_to_dustpan,full,dynamac_v4,200,0.98,0.97,0.01,2,0,0.5,1.0
