trial_id,task,arm,demonstration,scenario,intervention,perturbed,frame,expected_relation,skill_index,anchor_local_index,horizon_ticks,baseline_detection,proposed_detection,proposed_detection_latency,proposed_recover_rate,proposed_defer_rate,proposed_block_rate,baseline_active_rate,proposed_mean_weight,proposed_final_relation,baseline_active_expert_suppressed
relation:bimanual_handover_item/left:d4:false_coupling_control:item0,bimanual_handover_item,left,4,false_coupling_control,false_coupling,0,item0,external,0,49,12,0,0,,0.0,0.0,0.0,1.0,0.9999956172277921,external,0
relation:bimanual_handover_item/left:d4:false_coupling_perturbed:item0,bimanual_handover_item,left,4,false_coupling_perturbed,false_coupling,1,item0,external,0,49,12,0,1,0,1.0,0.0,1.0,1.0,0.0,linked,1
relation:bimanual_lift_tray/left:d0:break_link_control:tray,bimanual_lift_tray,left,0,break_link_control,break_link,0,tray,linked,2,10,12,0,0,,0.0,0.0,0.0,0.0,0.0,linked,0
relation:bimanual_lift_tray/left:d0:break_link_perturbed:tray,bimanual_lift_tray,left,0,break_link_perturbed,break_link,1,tray,linked,2,10,12,0,1,0,1.0,0.0,1.0,0.0,0.0,external,0
relation:bimanual_lift_tray/left:d0:false_coupling_control:tray,bimanual_lift_tray,left,0,false_coupling_control,false_coupling,0,tray,external,0,9,12,0,0,,0.0,0.0,0.0,1.0,0.9999956171404,external,0
relation:bimanual_lift_tray/left:d0:false_coupling_perturbed:tray,bimanual_lift_tray,left,0,false_coupling_perturbed,false_coupling,1,tray,external,0,9,12,0,1,0,1.0,0.0,1.0,1.0,0.0,linked,1
relation:bimanual_lift_tray/left:d1:break_link_control:tray,bimanual_lift_tray,left,1,break_link_control,break_link,0,tray,linked,2,11,12,0,0,,0.0,0.08333333333333333,0.0,0.0,0.0,linked,0
relation:bimanual_lift_tray/left:d1:break_link_perturbed:tray,bimanual_lift_tray,left,1,break_link_perturbed,break_link,1,tray,linked,2,11,12,0,1,0,0.9166666666666666,0.0,0.9166666666666666,0.0,0.0,external,0
relation:bimanual_lift_tray/left:d1:false_coupling_control:tray,bimanual_lift_tray,left,1,false_coupling_control,false_coupling,0,tray,external,0,9,12,0,0,,0.0,0.0,0.0,1.0,0.9999956174260117,external,0
relation:bimanual_lift_tray/left:d1:false_coupling_perturbed:tray,bimanual_lift_tray,left,1,false_coupling_perturbed,false_coupling,1,tray,external,0,9,12,0,1,0,1.0,0.0,1.0,1.0,0.0,linked,1
