trial_id,task,arm,demonstration,scenario,intervention,perturbed,frame,expected_relation,skill_index,anchor_local_index,horizon_ticks,baseline_detection,proposed_detection,proposed_detection_latency,proposed_recover_rate,proposed_defer_rate,proposed_block_rate,baseline_active_rate,proposed_mean_weight,proposed_final_relation,baseline_active_expert_suppressed
relation:bimanual_lift_tray/right:d4:false_coupling_control:tray,bimanual_lift_tray,right,4,false_coupling_control,false_coupling,0,tray,external,0,9,12,0,0,,0.0,0.0,0.0,1.0,0.9999999996280592,external,0
relation:bimanual_lift_tray/right:d4:false_coupling_perturbed:tray,bimanual_lift_tray,right,4,false_coupling_perturbed,false_coupling,1,tray,external,0,9,12,0,1,0,1.0,0.0,1.0,1.0,0.0,linked,1
relation:bimanual_put_bottle_in_fridge/left:d0:false_coupling_control:bottle,bimanual_put_bottle_in_fridge,left,0,false_coupling_control,false_coupling,0,bottle,external,0,77,12,0,0,,0.0,0.16666666666666666,0.16666666666666666,1.0,0.999999999628075,external,0
relation:bimanual_put_bottle_in_fridge/left:d0:false_coupling_perturbed:bottle,bimanual_put_bottle_in_fridge,left,0,false_coupling_perturbed,false_coupling,1,bottle,external,0,77,12,0,1,0,0.8333333333333334,0.16666666666666666,1.0,1.0,0.0,linked,1
relation:bimanual_put_bottle_in_fridge/left:d1:false_coupling_control:bottle,bimanual_put_bottle_in_fridge,left,1,false_coupling_control,false_coupling,0,bottle,external,0,30,12,0,0,,0.0,0.0,0.0,1.0,0.9999999990712983,external,0
relation:bimanual_put_bottle_in_fridge/left:d1:false_coupling_perturbed:bottle,bimanual_put_bottle_in_fridge,left,1,false_coupling_perturbed,false_coupling,1,bottle,external,0,30,12,0,1,0,1.0,0.0,1.0,1.0,0.0,linked,1
relation:bimanual_put_bottle_in_fridge/left:d2:false_coupling_control:bottle,bimanual_put_bottle_in_fridge,left,2,false_coupling_control,false_coupling,0,bottle,external,0,50,12,0,0,,0.0,0.0,0.0,1.0,0.9999999984708087,external,0
relation:bimanual_put_bottle_in_fridge/left:d2:false_coupling_perturbed:bottle,bimanual_put_bottle_in_fridge,left,2,false_coupling_perturbed,false_coupling,1,bottle,external,0,50,12,0,1,0,1.0,0.0,1.0,1.0,0.0,linked,1
relation:bimanual_put_bottle_in_fridge/left:d3:false_coupling_control:bottle,bimanual_put_bottle_in_fridge,left,3,false_coupling_control,false_coupling,0,bottle,external,0,45,12,0,0,,0.0,0.0,0.0,1.0,0.9999999989582685,external,0
relation:bimanual_put_bottle_in_fridge/left:d3:false_coupling_perturbed:bottle,bimanual_put_bottle_in_fridge,left,3,false_coupling_perturbed,false_coupling,1,bottle,external,0,45,12,0,1,0,1.0,0.0,1.0,1.0,0.0,linked,1
relation:bimanual_put_bottle_in_fridge/left:d4:false_coupling_control:bottle,bimanual_put_bottle_in_fridge,left,4,false_coupling_control,false_coupling,0,bottle,external,0,9,12,0,0,,0.0,0.16666666666666666,0.16666666666666666,1.0,0.999999999628094,external,0
relation:bimanual_put_bottle_in_fridge/left:d4:false_coupling_perturbed:bottle,bimanual_put_bottle_in_fridge,left,4,false_coupling_perturbed,false_coupling,1,bottle,external,0,9,12,0,1,0,0.8333333333333334,0.16666666666666666,1.0,1.0,0.0,linked,1
relation:bimanual_sweep_to_dustpan/left:d0:false_coupling_control:dustpan,bimanual_sweep_to_dustpan,left,0,false_coupling_control,false_coupling,0,dustpan,external,0,32,12,0,0,,0.0,0.0,0.0,1.0,0.999999999611929,external,0
relation:bimanual_sweep_to_dustpan/left:d0:false_coupling_perturbed:dustpan,bimanual_sweep_to_dustpan,left,0,false_coupling_perturbed,false_coupling,1,dustpan,external,0,32,12,0,1,0,1.0,0.0,1.0,1.0,0.0,linked,1
relation:bimanual_sweep_to_dustpan/left:d1:false_coupling_control:dustpan,bimanual_sweep_to_dustpan,left,1,false_coupling_control,false_coupling,0,dustpan,external,0,47,12,0,0,,0.0,0.0,0.0,1.0,0.9999999995491464,external,0
relation:bimanual_sweep_to_dustpan/left:d1:false_coupling_perturbed:dustpan,bimanual_sweep_to_dustpan,left,1,false_coupling_perturbed,false_coupling,1,dustpan,external,0,47,12,0,1,0,1.0,0.0,1.0,1.0,0.0,linked,1
relation:bimanual_sweep_to_dustpan/left:d2:false_coupling_control:dustpan,bimanual_sweep_to_dustpan,left,2,false_coupling_control,false_coupling,0,dustpan,external,0,32,12,0,0,,0.0,0.0,0.0,1.0,0.9999999996280802,external,0
relation:bimanual_sweep_to_dustpan/left:d2:false_coupling_perturbed:dustpan,bimanual_sweep_to_dustpan,left,2,false_coupling_perturbed,false_coupling,1,dustpan,external,0,32,12,0,1,0,1.0,0.0,1.0,1.0,0.0,linked,1
relation:bimanual_sweep_to_dustpan/left:d3:false_coupling_control:dustpan,bimanual_sweep_to_dustpan,left,3,false_coupling_control,false_coupling,0,dustpan,external,0,32,12,0,0,,0.0,0.0,0.0,1.0,0.9999999996220169,external,0
relation:bimanual_sweep_to_dustpan/left:d3:false_coupling_perturbed:dustpan,bimanual_sweep_to_dustpan,left,3,false_coupling_perturbed,false_coupling,1,dustpan,external,0,32,12,0,1,0,1.0,0.0,1.0,1.0,0.0,linked,1
relation:bimanual_sweep_to_dustpan/left:d4:false_coupling_control:dustpan,bimanual_sweep_to_dustpan,left,4,false_coupling_control,false_coupling,0,dustpan,external,0,32,12,0,0,,0.0,0.0,0.0,1.0,0.9999999996017612,external,0
relation:bimanual_sweep_to_dustpan/left:d4:false_coupling_perturbed:dustpan,bimanual_sweep_to_dustpan,left,4,false_coupling_perturbed,false_coupling,1,dustpan,external,0,32,12,0,1,0,1.0,0.0,1.0,1.0,0.0,linked,1
relation:bimanual_sweep_to_dustpan/right:d0:false_coupling_control:dustpan,bimanual_sweep_to_dustpan,right,0,false_coupling_control,false_coupling,0,dustpan,external,0,9,12,0,0,,0.0,0.0,0.0,1.0,0.9999999996280802,external,0
relation:bimanual_sweep_to_dustpan/right:d0:false_coupling_perturbed:dustpan,bimanual_sweep_to_dustpan,right,0,false_coupling_perturbed,false_coupling,1,dustpan,external,0,9,12,0,1,0,1.0,0.0,1.0,1.0,0.0,linked,1
relation:bimanual_sweep_to_dustpan/right:d1:false_coupling_control:dustpan,bimanual_sweep_to_dustpan,right,1,false_coupling_control,false_coupling,0,dustpan,external,0,10,12,0,0,,0.0,0.0,0.0,1.0,0.9999999996280802,external,0
relation:bimanual_sweep_to_dustpan/right:d1:false_coupling_perturbed:dustpan,bimanual_sweep_to_dustpan,right,1,false_coupling_perturbed,false_coupling,1,dustpan,external,0,10,12,0,1,0,1.0,0.0,1.0,1.0,0.0,linked,1
relation:bimanual_sweep_to_dustpan/right:d2:false_coupling_control:dustpan,bimanual_sweep_to_dustpan,right,2,false_coupling_control,false_coupling,0,dustpan,external,0,9,12,0,0,,0.0,0.0,0.0,1.0,0.9999999996280802,external,0
relation:bimanual_sweep_to_dustpan/right:d2:false_coupling_perturbed:dustpan,bimanual_sweep_to_dustpan,right,2,false_coupling_perturbed,false_coupling,1,dustpan,external,0,9,12,0,1,0,1.0,0.0,1.0,1.0,0.0,linked,1
relation:bimanual_sweep_to_dustpan/right:d3:false_coupling_control:dustpan,bimanual_sweep_to_dustpan,right,3,false_coupling_control,false_coupling,0,dustpan,external,0,9,12,0,0,,0.0,0.0,0.0,1.0,0.9999999996280802,external,0
relation:bimanual_sweep_to_dustpan/right:d3:false_coupling_perturbed:dustpan,bimanual_sweep_to_dustpan,right,3,false_coupling_perturbed,false_coupling,1,dustpan,external,0,9,12,0,1,0,1.0,0.0,1.0,1.0,0.0,linked,1
relation:bimanual_sweep_to_dustpan/right:d4:false_coupling_control:dustpan,bimanual_sweep_to_dustpan,right,4,false_coupling_control,false_coupling,0,dustpan,external,0,9,12,0,0,,0.0,0.0,0.0,1.0,0.9999999996280802,external,0
relation:bimanual_sweep_to_dustpan/right:d4:false_coupling_perturbed:dustpan,bimanual_sweep_to_dustpan,right,4,false_coupling_perturbed,false_coupling,1,dustpan,external,0,9,12,0,1,0,1.0,0.0,1.0,1.0,0.0,linked,1
