trial_id,task,arm,demonstration,scenario,magnitude,skill_index,anchor_local_index,ticks,baseline_mae,proposed_mae,mae_improvement,baseline_exact_rate,proposed_exact_rate,baseline_final_error,proposed_final_error,proposed_no_plausible_cycles,proposed_wins
progress:bimanual_handover_item/left:d0:stutter:m3,bimanual_handover_item,left,0,stutter,3,0,31,30,2.1,3.066666666666667,-0.9666666666666668,0.26666666666666666,0.16666666666666666,3.0,5.0,0,0
progress:bimanual_handover_item/left:d0:stutter:m6,bimanual_handover_item,left,0,stutter,6,0,31,33,4.090909090909091,4.454545454545454,-0.3636363636363633,0.24242424242424243,0.15151515151515152,6.0,6.0,0,0
progress:bimanual_handover_item/left:d0:skip:m2,bimanual_handover_item,left,0,skip,2,0,31,25,1.36,0.92,0.44000000000000006,0.32,0.36,2.0,3.0,0,1
progress:bimanual_handover_item/left:d0:skip:m4,bimanual_handover_item,left,0,skip,4,0,31,23,2.608695652173913,0.9130434782608695,1.6956521739130435,0.34782608695652173,0.34782608695652173,4.0,2.0,0,1
progress:bimanual_handover_item/left:d1:normal:m0,bimanual_handover_item,left,1,normal,0,0,31,27,0.0,1.3703703703703705,-1.3703703703703705,1.0,0.4074074074074074,0.0,4.0,0,0
progress:bimanual_handover_item/left:d1:stutter:m3,bimanual_handover_item,left,1,stutter,3,0,31,30,2.1,1.1666666666666667,0.9333333333333333,0.26666666666666666,0.36666666666666664,3.0,3.0,3,1
progress:bimanual_handover_item/left:d1:stutter:m6,bimanual_handover_item,left,1,stutter,6,0,31,33,4.090909090909091,1.8181818181818181,2.2727272727272725,0.24242424242424243,0.3333333333333333,6.0,2.0,6,1
progress:bimanual_handover_item/left:d1:skip:m2,bimanual_handover_item,left,1,skip,2,0,31,25,1.36,2.0,-0.6399999999999999,0.32,0.32,2.0,4.0,0,0
progress:bimanual_handover_item/left:d1:skip:m4,bimanual_handover_item,left,1,skip,4,0,31,23,2.608695652173913,2.5652173913043477,0.04347826086956541,0.34782608695652173,0.34782608695652173,4.0,5.0,0,1
progress:bimanual_handover_item/left:d2:normal:m0,bimanual_handover_item,left,2,normal,0,0,31,27,0.0,0.14814814814814814,-0.14814814814814814,1.0,0.8518518518518519,0.0,1.0,5,0
progress:bimanual_handover_item/left:d2:stutter:m3,bimanual_handover_item,left,2,stutter,3,0,31,30,2.1,2.5,-0.3999999999999999,0.26666666666666666,0.26666666666666666,3.0,3.0,5,0
progress:bimanual_handover_item/left:d2:stutter:m6,bimanual_handover_item,left,2,stutter,6,0,31,33,4.090909090909091,3.909090909090909,0.18181818181818166,0.24242424242424243,0.24242424242424243,6.0,4.0,5,1
