task,arm,demonstration,boundary,source_skill,target_skill,source_duration,terminal_window_size,final_progress_status,final_progress_supported,final_estimated_in_terminal_window,final_end_probability,final_best_explanation_score,terminal_supported_samples,terminal_sample_count,terminal_minimum_end_probability,nonterminal_maximum_end_probability,goal_count,goal_observed_all,goal_support_all,goal_minimum_compatibility,goal_minimum_log_margin,own_relation_count,own_relation_observed_all,own_relation_stable_all,own_relation_match_all,own_relation_minimum_target_probability,own_relation_minimum_compatibility,guard_relation_count,guard_relation_observed_all,guard_relation_stable_all,guard_relation_match_all,guard_relation_minimum_target_probability,guard_relation_minimum_compatibility,guard_scene_count,guard_scene_observed_all,guard_scene_support_all,guard_scene_minimum_compatibility,local_ready_streak,all_conditions_ready_streak
open_microwave,single,4,single:1->2,1,2,13,3,aligned,1,1,1.0,0.012954041151286955,3,3,0.6999293242508555,3.800304629065439e-06,1,1,1,0.012968346289628795,0.0,0,1,1,1,1.0,1.0,0,1,1,1,1.0,1.0,0,1,1,1.0,1,1
wipe_desk,single,0,single:0->1,0,1,74,3,aligned,1,1,0.9999999999999999,0.45248173525048735,3,3,0.9341762029092157,0.010326730463450728,2,1,1,0.2119750607878119,0.2517660480386752,0,1,1,1,1.0,1.0,0,1,1,1,1.0,1.0,0,1,1,1.0,1,1
wipe_desk,single,0,single:1->2,1,2,23,3,aligned,1,1,1.0,0.8947856210979375,3,3,0.8934975799292739,0.006456959949289152,1,1,1,0.8950106618881456,2.255333332765204,1,1,1,1,0.9995599813503523,0.6998239925401409,0,1,1,1,1.0,1.0,0,1,1,1.0,1,1
wipe_desk,single,0,single:2->3,2,3,143,3,aligned,1,1,1.0,0.777454759277488,3,3,0.9979610509982598,6.273998796337794e-07,2,1,1,0.7175322941048068,0.7008331719108725,0,1,1,1,1.0,1.0,0,1,1,1,1.0,1.0,0,1,1,1.0,1,1
wipe_desk,single,1,single:0->1,0,1,74,3,aligned,1,1,1.0,0.4980013362557121,3,3,0.9478802379570137,0.14345743965455404,2,1,1,0.25846199646181384,0.24994861171869331,0,1,1,1,1.0,1.0,0,1,1,1,1.0,1.0,0,1,1,1.0,2,2
wipe_desk,single,1,single:1->2,1,2,23,3,aligned,1,1,1.0,0.873908016124336,3,3,0.9288751875900823,0.06784840553224769,1,1,1,0.874169250842647,2.231771703751413,1,1,1,1,0.9994770340450623,0.6997908136180249,0,1,1,1,1.0,1.0,0,1,1,1.0,3,3
wipe_desk,single,1,single:2->3,2,3,143,3,aligned,1,1,1.0,0.8908609724798547,3,3,0.986502597749537,3.526101956648507e-10,2,1,1,0.8545371490239729,0.9588326270525371,0,1,1,1,1.0,1.0,0,1,1,1,1.0,1.0,0,1,1,1.0,1,1
wipe_desk,single,2,single:0->1,0,1,74,3,aligned,1,1,1.0,0.4239673846568406,3,3,0.9330438950970125,0.08560965338183611,2,1,1,0.1894079113768006,0.23726829224281687,0,1,1,1,1.0,1.0,0,1,1,1,1.0,1.0,0,1,1,1.0,1,1
wipe_desk,single,2,single:1->2,1,2,23,3,aligned,1,1,1.0,0.09383160771151643,3,3,0.9119159405031819,0.3001228530924944,1,1,1,0.09383168498450857,0.0,1,1,1,1,0.999998558826517,0.6999994235306068,0,1,1,1,1.0,1.0,0,1,1,1.0,3,3
wipe_desk,single,2,single:2->3,2,3,143,3,aligned,1,1,1.0,0.39266477777462105,3,3,0.9999499898729259,2.6886140163407044e-05,2,1,1,0.15930185071297723,0.0,0,1,1,1,1.0,1.0,0,1,1,1,1.0,1.0,0,1,1,1.0,1,1
wipe_desk,single,3,single:0->1,0,1,74,3,aligned,1,1,1.0,0.7225031270557901,3,3,0.921929255065494,0.03205926712402085,2,1,1,0.5479935912501201,0.23603159485903547,0,1,1,1,1.0,1.0,0,1,1,1,1.0,1.0,0,1,1,1.0,1,1
wipe_desk,single,3,single:1->2,1,2,23,3,aligned,1,1,0.9999999999999999,0.8390142610397093,3,3,0.8849863422136148,0.017909437470038033,1,1,1,0.8391175748753016,2.1908485097813895,1,1,1,1,0.9997845364967916,0.6999138145987166,0,1,1,1,1.0,1.0,0,1,1,1.0,1,1
wipe_desk,single,3,single:2->3,2,3,143,3,aligned,1,1,1.0,0.5763077158097689,3,3,0.9999951263726514,0.00035994819957357367,2,1,1,0.35601931259875813,0.0,0,1,1,1,1.0,1.0,0,1,1,1,1.0,1.0,0,1,1,1.0,1,1
wipe_desk,single,4,single:0->1,0,1,74,3,aligned,1,1,1.0,0.20292718051075284,3,3,0.6774083587649399,2.902067118468915e-06,2,1,1,0.054518775647815945,0.0,0,1,1,1,1.0,1.0,0,1,1,1,1.0,1.0,0,1,1,1.0,1,1
wipe_desk,single,4,single:1->2,1,2,23,3,aligned,1,1,1.0,0.770512310990957,3,3,0.7414203015713724,0.01717599489083278,1,1,1,0.6007367081206596,1.8566542866050568,1,1,1,1,0.9992027790164894,0.6996811116065956,0,1,1,1,1.0,1.0,0,1,1,1.0,1,1
wipe_desk,single,4,single:2->3,2,3,143,3,aligned,1,1,0.9999999999999999,0.7631455771018317,3,3,0.999935730765175,0.0005330186650775941,2,1,1,0.6163035783204686,0.9761925039978863,0,1,1,1,1.0,1.0,0,1,1,1,1.0,1.0,0,1,1,1.0,1,1
bimanual_handover_item,left,0,left:0->1,0,1,74,3,aligned,1,1,0.9999999999999999,0.10872516602960255,3,3,0.8372698916257715,0.1388059614308019,2,1,1,0.05235510733436895,1.4438698054416932,0,1,1,1,1.0,1.0,0,1,1,1,1.0,1.0,0,1,1,1.0,3,3
bimanual_handover_item,left,0,left:1->2,1,2,26,3,aligned,1,1,1.0,0.04129450290082012,3,3,0.6762068357729412,0.02477256720464152,1,1,1,0.04129734848215631,1.4204901910326768,0,1,1,1,1.0,1.0,0,1,1,1,1.0,1.0,0,1,1,1.0,3,3
bimanual_handover_item,left,0,left:2->3,2,3,45,3,aligned,1,1,1.0,0.12720321583798916,3,3,0.8574871553277552,0.15878955561262192,1,1,1,0.12720447835548226,4.059685701566665,1,1,1,1,0.9999977955056044,0.6999991182022417,1,1,1,1,0.9999788845574071,0.6999915538229629,0,1,1,1.0,3,3
bimanual_handover_item,left,0,left:3->4,3,4,45,3,aligned,1,1,1.0,0.2797348969225244,3,3,0.9843763148862222,0.003360761263902309,3,1,1,0.10471405051028647,0.1432830194263346,0,1,1,1,1.0,1.0,0,1,1,1,1.0,1.0,0,1,1,1.0,1,1
bimanual_handover_item,left,0,left:4->5,4,5,26,3,aligned,1,1,1.0,0.7086401939472736,3,3,0.8833852614220178,0.00046887743054223953,2,1,1,0.512978732222997,2.9961018549873586,0,1,1,1,1.0,1.0,0,1,1,1,1.0,1.0,0,1,1,1.0,1,1
bimanual_handover_item,left,0,left:5->6,5,6,22,3,aligned,1,1,0.9999999999999999,0.7006194528406474,3,3,0.8550396709563445,0.15429370543173473,2,1,1,0.5306477894634478,0.25667686092027253,0,1,1,1,1.0,1.0,0,1,1,1,1.0,1.0,0,1,1,1.0,3,3
bimanual_handover_item,left,1,left:0->1,0,1,74,3,low_confidence,1,1,1.0,0.038449173067360363,3,3,0.29971296957836163,0.00760701292570076,2,1,1,0.0013683052596762202,0.0,0,1,1,1,1.0,1.0,0,1,1,1,1.0,1.0,0,1,1,1.0,1,1
bimanual_handover_item,left,1,left:1->2,1,2,26,3,aligned,1,1,1.0,0.00997630274004334,3,3,0.9944731329303058,0.19340687947355825,1,1,1,0.009977255719028228,0.0,0,1,1,1,1.0,1.0,0,1,1,1,1.0,1.0,0,1,1,1.0,3,3
bimanual_handover_item,left,1,left:2->3,2,3,45,3,aligned,1,1,0.9999999999999999,0.06155196446088898,3,3,0.8631702110457676,0.16475505483879044,1,1,1,0.061552620967367945,3.3337822785955913,1,1,1,1,0.999998497766576,0.6999993991066303,1,1,1,1,0.999977472003416,0.6999909888013663,0,1,1,1.0,3,3
bimanual_handover_item,left,1,left:3->4,3,4,45,3,aligned,1,1,1.0,0.19133752775008403,3,3,0.8630416490554861,2.1267696225635004e-06,3,1,1,0.024406311130879522,0.0,0,1,1,1,1.0,1.0,0,1,1,1,1.0,1.0,0,1,1,1.0,1,1
bimanual_handover_item,left,1,left:4->5,4,5,26,3,aligned,1,1,1.0,0.6530694739041154,3,3,0.3834186553806236,0.03839378363798328,2,1,1,0.5312555371869024,2.797711717383031,0,1,1,1,1.0,1.0,0,1,1,1,1.0,1.0,0,1,1,1.0,1,1
bimanual_handover_item,left,1,left:5->6,5,6,22,3,aligned,1,1,1.0,0.7504054682526844,3,3,0.8549753598798843,0.1539785990371733,2,1,1,0.624443271574388,0.4194388921436385,0,1,1,1,1.0,1.0,0,1,1,1,1.0,1.0,0,1,1,1.0,3,3
bimanual_handover_item,left,2,left:0->1,0,1,74,3,aligned,1,1,1.0,0.2741412347961958,3,3,0.8850669714626543,0.13902485678852713,2,1,1,0.143879384949583,2.4547956253549152,0,1,1,1,1.0,1.0,0,1,1,1,1.0,1.0,0,1,1,1.0,3,3
bimanual_handover_item,left,2,left:1->2,1,2,26,3,aligned,1,1,0.9999999999999999,0.6169395573844684,3,3,0.9926666194820859,0.15493451427685806,1,1,1,0.6176975741343775,4.125691001569184,0,1,1,1,1.0,1.0,0,1,1,1,1.0,1.0,0,1,1,1.0,3,3
bimanual_handover_item,left,2,left:2->3,2,3,45,3,aligned,1,1,1.0,0.002194827843055489,3,3,0.8825425080880345,0.18101596303693177,1,1,1,0.002194842207866676,0.0,1,1,1,1,0.9999983164526415,0.6999993265810566,1,1,1,1,0.9999867139232117,0.6999946855692847,0,1,1,1.0,3,3
bimanual_handover_item,left,2,left:3->4,3,4,45,3,low_confidence,1,1,1.0,0.05214945673986361,3,3,0.34139801788383994,1.6438408967038553e-13,3,1,1,0.004484532001258718,0.0,0,1,1,1,1.0,1.0,0,1,1,1,1.0,1.0,0,1,1,1.0,1,1
bimanual_handover_item,left,2,left:4->5,4,5,26,3,aligned,1,1,1.0,0.7480856348347451,3,3,0.6026599127933167,0.0004345132337655715,2,1,1,0.5693125080725925,3.000404844586292,0,1,1,1,1.0,1.0,0,1,1,1,1.0,1.0,0,1,1,1.0,2,2
bimanual_handover_item,left,2,left:5->6,5,6,22,3,aligned,1,1,1.0,0.654085792389829,3,3,0.8554749501472791,0.1542718386967358,2,1,1,0.4720849181509561,0.1397371781584127,0,1,1,1,1.0,1.0,0,1,1,1,1.0,1.0,0,1,1,1.0,3,3
bimanual_handover_item,left,3,left:0->1,0,1,74,3,aligned,1,1,1.0,0.3731191561707834,3,3,0.781368777811568,0.051133100251013655,2,1,1,0.10781224908631688,3.8703682415377543,0,1,1,1,1.0,1.0,0,1,1,1,1.0,1.0,0,1,1,1.0,3,3
bimanual_handover_item,left,3,left:1->2,1,2,26,3,aligned,1,1,0.9999999999999999,0.12728547149920794,3,3,0.9908544981420373,0.20169518016000265,1,1,1,0.1273187205162311,2.5463855265653415,0,1,1,1,1.0,1.0,0,1,1,1,1.0,1.0,0,1,1,1.0,3,3
bimanual_handover_item,left,3,left:2->3,2,3,45,3,aligned,1,1,1.0,0.6063633990618642,3,3,0.856276493599088,0.15305966641195676,1,1,1,0.5928473005266165,5.598826706868116,1,1,1,1,0.9996813383503667,0.6998725353401467,1,1,1,1,0.999400864400183,0.6997603457600732,0,1,1,1.0,3,3
bimanual_handover_item,left,3,left:3->4,3,4,45,3,aligned,1,1,1.0,0.490153308097584,3,3,0.9398513392548439,0.0007290398059901111,3,1,1,0.15011180655993353,0.77320430973257,0,1,1,1,1.0,1.0,0,1,1,1,1.0,1.0,0,1,1,1.0,1,1
bimanual_handover_item,left,3,left:4->5,4,5,26,3,low_confidence,1,1,1.0,0.7705897159222048,3,3,0.9718434852482907,0.0030189611204159772,2,1,1,0.24806592140322095,1.6940369437404144,0,1,1,1,1.0,1.0,0,1,1,1,1.0,1.0,0,1,1,1.0,1,1
bimanual_handover_item,left,3,left:5->6,5,6,22,3,aligned,1,1,1.0,0.4978101029862715,3,3,0.8546592045189123,0.1532511141768173,2,1,1,0.28875410395908796,0.521234158297446,0,1,1,1,1.0,1.0,0,1,1,1,1.0,1.0,0,1,1,1.0,3,3
bimanual_handover_item,left,4,left:0->1,0,1,74,3,aligned,1,1,0.9999999999999999,0.21556460068364655,3,3,0.9089812433047934,0.19904846588498132,2,1,1,0.15055436114443468,2.5001445065477874,0,1,1,1,1.0,1.0,0,1,1,1,1.0,1.0,0,1,1,1.0,3,3
bimanual_handover_item,left,4,left:1->2,1,2,26,3,aligned,1,1,1.0,0.29688308194159657,3,3,0.805094774564324,0.04491241124324873,1,1,1,0.2906104364058404,3.371675646115225,0,1,1,1,1.0,1.0,0,1,1,1,1.0,1.0,0,1,1,1.0,3,3
bimanual_handover_item,left,4,left:2->3,2,3,45,3,aligned,1,1,1.0,0.6042804590204388,3,3,0.8625767408590012,0.16095559605781345,1,1,1,0.6044121930604084,5.61814624839744,1,1,1,1,0.9997993109468422,0.6999197243787367,1,1,1,1,0.9995965913726368,0.6998386365490548,0,1,1,1.0,3,3
